+-------------+----------------------------------+-------------------------------------+---------------------------------------+-----------------------------------+
| Values of N | Time Complexity for Naive Search | Time Complexity for BottomUp Search | Time Complexity for ClosedForm Search | Time Complexity for Matrix Search |
|    15424    |             Too Long             |         0.002632933000000115        |      Will throw math range error      |        0.033693322000000414       |
|    15600    |             Too Long             |        0.0026404709999994225        |      Will throw math range error      |        0.03338307599999979        |
|    15777    |             Too Long             |        0.0027359580000005934        |      Will throw math range error      |        0.03441496200000049        |
|    15955    |             Too Long             |         0.002795693999999571        |      Will throw math range error      |        0.03477225600000011        |
|    16134    |             Too Long             |        0.0028314460000000707        |      Will throw math range error      |        0.035491095999999445       |
|    16314    |             Too Long             |         0.002912928999999842        |      Will throw math range error      |        0.036209124999999176       |
|    16495    |             Too Long             |        0.0029878339999998005        |      Will throw math range error      |        0.03867271800000083        |
|    16677    |             Too Long             |        0.0031461899999998266        |      Will throw math range error      |        0.03852016200000019        |
|    16860    |             Too Long             |        0.0032368480000002364        |      Will throw math range error      |        0.03916389499999973        |
|    17044    |             Too Long             |        0.0031926280000007523        |      Will throw math range error      |        0.04841644700000014        |
|    17229    |             Too Long             |         0.006600329000000293        |      Will throw math range error      |        0.05215638800000022        |
|    17415    |             Too Long             |        0.0035326619999995756        |      Will throw math range error      |        0.04076063399999974        |
|    17602    |             Too Long             |        0.0033478769999994995        |      Will throw math range error      |        0.04103604300000008        |
|    17790    |             Too Long             |        0.0034312700000000973        |      Will throw math range error      |        0.04301147400000005        |
|    17979    |             Too Long             |        0.0035049850000001825        |      Will throw math range error      |        0.04352054599999988        |
|    18169    |             Too Long             |         0.003538060999999537        |      Will throw math range error      |         0.0437749209999998        |
|    18360    |             Too Long             |        0.0035918380000001804        |      Will throw math range error      |        0.04404226099999953        |
|    18552    |             Too Long             |        0.0036191470000002113        |      Will throw math range error      |        0.04466517699999972        |
|    18745    |             Too Long             |        0.0037107299999998844        |      Will throw math range error      |        0.04547660400000009        |
|    18939    |             Too Long             |        0.0038502950000003366        |      Will throw math range error      |        0.04690770699999991        |
|    19134    |             Too Long             |        0.0039268779999996895        |      Will throw math range error      |        0.049045088000000625       |
|    19330    |             Too Long             |         0.003903750999999289        |      Will throw math range error      |        0.04801076599999998        |
|    19527    |             Too Long             |         0.004034497000000137        |      Will throw math range error      |        0.04884804599999981        |
|    19725    |             Too Long             |         0.004170757999999886        |      Will throw math range error      |        0.05038908400000075        |
|    19924    |             Too Long             |         0.004148309999999711        |      Will throw math range error      |        0.050622458000000314       |
|    20124    |             Too Long             |         0.004214623000000195        |      Will throw math range error      |        0.051852732999999596       |
|    20325    |             Too Long             |         0.004299493000000432        |      Will throw math range error      |        0.05191325600000063        |
|    20527    |             Too Long             |         0.004364574000000232        |      Will throw math range error      |        0.05301012499999924        |
|    20730    |             Too Long             |         0.004699302000000571        |      Will throw math range error      |         0.0559720799999992        |
|    20934    |             Too Long             |         0.005841500999999916        |      Will throw math range error      |        0.059636794000000215       |
